perfume_index,similar_perfume_index,rounded_percentage_match
0,4923,51
0,7100,45
0,5204,45
1,6090,77
1,5452,71
1,5976,69
2,214,55
2,8058,49
2,2175,47
3,4402,52
3,5750,51
3,1844,48
4,7532,58
4,5510,58
4,8619,57
5,3023,52
5,6982,48
5,2245,48
6,5940,51
6,687,36
6,10095,35
7,1195,68
7,2672,59
7,4759,58
8,7181,58
8,8634,54
8,6748,53
9,19,65
9,7529,64
9,6516,64
10,8247,68
10,4944,60
10,7322,59
11,4394,61
11,9151,51
11,10336,50
12,6311,63
12,8275,62
12,5188,57
13,2462,38
13,1143,37
13,9933,36
14,2944,67
14,1163,66
14,8737,54
15,636,64
15,4181,57
15,10112,52
16,464,84
16,7338,76
16,8247,64
17,4494,73
17,4486,71
17,1194,68
18,5559,61
18,1421,59
18,7669,58
19,9,65
19,8403,59
19,5462,57
20,2354,56
20,5207,55
20,2055,53
21,1555,68
21,5969,64
21,126,63
22,35,97
22,2740,51
22,8874,51
23,10512,61
23,122,58
23,1195,55
24,7424,60
24,9021,59
24,1,59
25,2392,80
25,961,69
25,8274,67
26,7364,59
26,723,55
26,716,55
27,1569,65
27,5894,64
27,1456,63
28,6663,76
28,9823,73
28,2348,72
29,7418,53
29,4944,51
29,9526,49
30,578,58
30,9816,56
30,6060,54
31,147,60
31,9718,57
31,736,55
32,4145,79
32,1880,73
32,2785,69
33,4123,69
33,7220,68
33,719,66
34,1422,64
34,10733,56
34,5843,56
35,22,97
35,2740,51
35,5365,51
36,7064,56
36,7606,55
36,3376,52
37,10375,66
37,2582,57
37,7583,54
38,4386,72
38,8958,70
38,10529,68
39,4830,47
39,5575,47
39,4418,45
40,2623,46
40,685,46
40,5576,44
41,88,66
41,522,65
41,2204,62
42,48,68
42,2786,56
42,5356,54
43,467,53
43,3968,46
43,1085,44
44,4528,68
44,10283,60
44,1042,54
45,6173,74
45,9169,55
45,5031,41
46,5810,71
46,9164,68
46,2115,56
47,7997,54
47,7998,51
47,5025,50
48,42,68
48,3665,49
48,3614,47
49,1848,45
49,10054,43
49,7343,42
50,9270,64
50,4418,60
50,2876,60
51,8778,68
51,354,59
51,8389,54
52,8717,71
52,7805,66
52,6113,64
53,6088,46
53,4948,42
53,6569,42
54,366,44
54,4558,43
54,55,43
55,2285,56
55,6906,55
55,4658,53
56,6318,69
56,6090,64
56,5452,64
57,4769,75
57,3129,73
57,9048,58
58,6211,48
58,8071,46
58,8398,46
59,5450,58
59,4844,50
59,808,47
60,4013,81
60,3396,54
60,8847,53
61,9542,52
61,6477,43
61,9547,43
62,1018,57
62,9728,52
62,2747,46
63,7753,50
63,8520,45
63,605,44
64,793,54
64,7966,54
64,3800,53
65,10061,47
65,2899,46
65,9093,45
66,8465,62
66,7450,62
66,10781,52
67,334,78
67,8915,73
67,6583,72
68,5014,46
68,3834,44
68,3224,41
69,8007,55
69,2963,52
69,2772,51
70,873,66
70,9745,63
70,3435,59
71,4472,66
71,6039,65
71,7414,58
72,8758,41
72,924,38
72,6317,36
73,5644,60
73,23,54
73,8373,53
74,9353,46
74,5348,44
74,9300,44
75,8530,50
75,9926,44
75,5278,39
76,9914,56
76,4180,53
76,6076,51
77,10350,64
77,6328,59
77,6021,56
78,2969,66
78,4759,65
78,2672,63
79,7521,63
79,9691,59
79,9128,58
80,2644,55
80,2001,55
80,2502,54
81,1726,71
81,2738,69
81,8889,69
82,613,68
82,9540,65
82,1861,62
83,9024,54
83,6411,52
83,4297,52
84,8930,67
84,3273,66
84,1106,63
85,8242,55
85,2186,51
85,3768,50
86,980,60
86,603,60
86,9849,60
87,6666,52
87,7982,51
87,500,51
88,6422,77
88,522,77
88,1087,69
89,2784,67
89,5775,66
89,9978,62
90,10565,64
90,9093,63
90,6053,62
91,4184,52
91,7208,47
91,6733,46
92,96,68
92,4874,66
92,6078,57
93,5334,75
93,2592,69
93,2807,68
94,3554,66
94,3543,63
94,5450,61
95,3000,50
95,2186,47
95,1787,47
96,3746,81
96,92,68
96,10783,66
97,8396,69
97,1988,57
97,9741,57
98,3378,71
98,606,67
98,3793,67
99,9011,55
